Instrument,Date,Price Close,Company Market Cap,Outstanding Shares,Price To Cash Flow Per Share (Daily Time Series Ratio),Cash Flow,Net Cash Flow from Operating Activities,Cash Flow Per Share - Actual,Price to Cash Flow per Share,Cash Flow from Operations per Share,CALC_PCF_MktCap_div_CF,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_CF_Shares,CALC_PCF_Price_div_OpCF_Shares,CALC_PCF_Price_div_CFPS_Act,CALC_PCF_Price_div_OpCFPS
BOLL.PA,2024-01-02,5.695,16806938059.9299,2932673610,15.3768875205215,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,336.138761198598,14.432750588175097,334.03152417900003,14.342272399270072,13.756038647342997,14.363537690656921
BOLL.PA,2024-01-03,5.64,16644623469.36,2932673610,15.2283837780055,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,332.89246938720004,14.293364937191928,330.805583208,14.203760549935593,13.623188405797102,14.224820469763833
BOLL.PA,2024-01-04,5.715,16865961547.4099,2932673610,15.4308888814364,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,337.319230948198,14.483436279441735,335.204593623,14.39264034448261,13.804347826086957,14.413980316436225
BOLL.PA,2024-01-05,5.72,16880717419.2799,2932673610,15.4443892216652,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,337.61434838559796,14.496107702258394,335.497860984,14.405232330785743,13.816425120772948,14.426590972881051
BOLL.PA,2024-01-08,5.78,17057787881.72,2932673610,15.6063933044099,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,341.1557576344,14.648164776058394,339.017069316,14.556336166423357,13.961352657004833,14.577918850218966
BOLL.PA,2024-01-09,5.73,16910229163.02,2932673610,15.4713899021226,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,338.2045832604,14.5214505478918,336.084395706,14.430416303392015,13.84057971014493,14.451812285770705
BOLL.PA,2024-01-10,5.715,16865961547.41,2932673610,15.4308888814364,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,337.3192309482,14.48343627944182,335.204593623,14.39264034448261,13.804347826086957,14.413980316436225
BOLL.PA,2024-01-11,5.64,16644623469.36,2932673610,15.2283837780055,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,332.89246938720004,14.293364937191928,330.805583208,14.203760549935593,13.623188405797102,14.224820469763833
BOLL.PA,2024-01-12,5.705,16836449803.67,2932673610,15.403888200979,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,336.7289960734,14.458093433808502,334.618058901,14.367456371876342,13.780193236714977,14.388759003546573
BOLL.PA,2024-01-15,5.72,16300177127.5199,2932673610,14.913245313376,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,326.003542550398,13.99757589310425,335.497860984,14.405232330785743,13.816425120772948,14.426590972881051
BOLL.PA,2024-01-16,5.72,16300177127.52,2932673610,14.913245313376,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,326.0035425504,13.997575893104337,335.497860984,14.405232330785743,13.816425120772948,14.426590972881051
BOLL.PA,2024-01-17,5.64,16072202622.2399,2932673610,14.7046684558463,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,321.444052444798,13.801805600893001,330.805583208,14.203760549935593,13.623188405797102,14.224820469763833
BOLL.PA,2024-01-18,5.64,16072202622.2399,2932673610,14.7046684558463,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,321.444052444798,13.801805600893001,330.805583208,14.203760549935593,13.623188405797102,14.224820469763833
BOLL.PA,2024-01-19,5.64,16072202622.24,2932673610,14.7046684558463,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,321.4440524448,13.801805600893086,330.805583208,14.203760549935593,13.623188405797102,14.224820469763833
BOLL.PA,2024-01-22,5.76,16414164380.16,2932673610,15.0175337421409,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,328.2832876032,14.095461039209962,337.843999872,14.50596822121082,13.91304347826087,14.52747622443966
BOLL.PA,2024-01-23,5.7,16243183501.2,2932673610,14.8611010989936,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,324.86367002400004,13.948633320051526,334.32479154000004,14.354864385573208,13.768115942028986,14.376148347101747
BOLL.PA,2024-01-24,5.84,16642138885.44,2932673610,15.2261105996706,50000000.0,1164500000.0,0.414,306.6250848984,0.396490065515297,332.8427777088,14.291231331421212,342.536277648,14.70744000206097,14.106280193236715,14.729246727556877
