Date,Price,Shares,MktCap,REF_PE,Implied_EPS_REF,EPSAct_LTM,Implied_EPS_LTM_formula,TTM_EPSAct,TTM_EPSfr,TTM_EPS_from_NI,Implied_EPS_self,Implied_EPS_self_source,Implied_EPS_trial,Implied_EPS_trial_source,PE_LTM_formula,EP_LTM_formula,PE_self,EP_self,PE_trial,EP_trial,REF_EP,Formula_diff_vs_REF,Self_diff_vs_REF,Trial_diff_vs_REF,neg_eps_flag,neg_eps_trial_flag,ref_pe_is_nan,self_available,ref_pe_missing_but_self_available
2024-01-02,32.48,768199747,24983975163.84,16.1271903038247,2.0139900000000055,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.590153244212583,0.09442733990147785,11.250432975406996,0.08888546798029558,16.07920792079208,0.06219211822660099,0.06200708128078835,1.0530099999999947,0.8730099999999945,0.00600999999999452,0,0,0,1,0
2024-01-03,31.8,768199747,24460911644.4,15.7895520831782,2.013989999999996,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.368438213237692,0.09644654088050315,11.014894354000694,0.09078616352201258,15.742574257425742,0.06352201257861635,0.0633330188679244,1.053010000000004,0.8730100000000038,0.006010000000003846,0,0,0,1,0
2024-01-04,32.27,768199747,24822440841.66,16.0229196768604,2.0139899999999953,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.52168242582328,0.09504183452122714,11.177693107031521,0.08946389835760768,15.975247524752477,0.06259683916950727,0.06241059807871072,1.0530100000000049,0.8730100000000047,0.006010000000004734,0,0,0,1,0
2024-01-05,32.4,768199747,24922438279.1999,16.0874681602193,2.0139899999999957,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.56406912292142,0.0946604938271605,11.222722549359196,0.08910493827160494,16.03960396039604,0.06234567901234568,0.06216018518518506,1.0530100000000044,0.8730100000000043,0.00601000000000429,0,0,0,1,0
2024-01-08,32.27,768199747,24822440841.6599,16.0229196768604,2.0139899999999953,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.52168242582328,0.09504183452122714,11.177693107031521,0.08946389835760768,15.975247524752477,0.06259683916950727,0.06241059807871072,1.0530100000000049,0.8730100000000047,0.006010000000004734,0,0,0,1,0
2024-01-09,32.15,768199747,24730135514.7,15.9633364614521,2.0139900000000055,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.482556243886533,0.09539657853810266,11.136127467959819,0.08979782270606532,15.915841584158414,0.06283048211508555,0.0626435458786938,1.0530099999999947,0.8730099999999945,0.00600999999999452,0,0,0,1,0
2024-01-10,31.97,768199747,24591677524.2599,15.8739616383398,2.0139900000000015,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.423866970981415,0.09593368783234282,11.073779009352268,0.09030340944635597,15.826732673267326,0.06318423522051923,0.06299624648107606,1.0530099999999987,0.8730099999999985,0.0060099999999985165,0,0,0,1,0
2024-01-11,32.09,768199747,24683982851.2199,15.933544853748,2.013990000000004,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.46299315291816,0.09557494546587722,11.11534464842397,0.08996572140853848,15.886138613861387,0.06294795886569024,0.06276067310688702,1.053009999999996,0.8730099999999958,0.006009999999995852,0,0,0,1,0
2024-01-12,32.48,768199747,24983975163.8399,16.1271903038247,2.0139900000000055,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.590153244212583,0.09442733990147785,11.250432975406996,0.08888546798029558,16.07920792079208,0.06219211822660099,0.06200708128078835,1.0530099999999947,0.8730099999999945,0.00600999999999452,0,0,0,1,0
2024-01-15,32.32,768199747,24860901394.56,16.0477460166138,2.0139899999999984,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.537985001630258,0.09489480198019802,11.195012123311397,0.08932549504950495,16.0,0.0625,0.06231404702970292,1.0530100000000018,0.8730100000000016,0.006010000000001625,0,0,0,1,0
2024-01-16,32.7,768199747,25153201596.6,16.2364261987398,2.013990000000002,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.661884577763287,0.0937920489296636,11.326636647038448,0.0882874617737003,16.18811881188119,0.06177370030581039,0.06158990825688079,1.0530099999999982,0.8730099999999981,0.0060099999999980724,0,0,0,1,0
2024-01-17,32.24,768199747,24799364509.9199,16.0080238730083,2.0139900000000006,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.511900880339093,0.0951302729528536,11.167301697263596,0.0895471464019851,15.96039603960396,0.06265508684863523,0.062468672456575704,1.0530099999999996,0.8730099999999994,0.006009999999999405,0,0,0,1,0
2024-01-18,31.75,768199747,24422451091.5,15.7647257434247,2.0139900000000055,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.352135637430713,0.0965984251968504,10.997575337720818,0.09092913385826772,15.717821782178218,0.0636220472440945,0.06343275590551199,1.0530099999999947,0.8730099999999945,0.00600999999999452,0,0,0,1,0
2024-01-19,31.16,768199747,23968616567.2799,15.4717749343343,2.013990000000004,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.15976524290838,0.09842747111681643,10.79321094561829,0.09265083440308088,15.425742574257425,0.06482670089858793,0.06463382541720167,1.053009999999996,0.8730099999999958,0.006009999999995852,0,0,0,1,0
2024-01-22,31.16,768199747,23968616567.28,15.4717749343343,2.013990000000004,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.15976524290838,0.09842747111681643,10.79321094561829,0.09265083440308088,15.425742574257425,0.06482670089858793,0.06463382541720167,1.053009999999996,0.8730099999999958,0.006009999999995852,0,0,0,1,0
2024-01-23,31.71,768199747,24391682649.18,15.744864671622,2.0139900000000006,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.339093576785132,0.09672027751497951,10.983720124696918,0.09104383475244403,15.698019801980198,0.06370230211289814,0.06351277199621572,1.0530099999999996,0.8730099999999994,0.006009999999999405,0,0,0,1,0
2024-01-24,32.14,768199747,24722443404.1199,15.9583711935015,2.0139899999999944,3.067,3.067,2.887,1.87,1.870607228929483,2.887,TTM_EPSAct,2.02,EPSFR_LTM,10.479295728725138,0.09542626011200996,11.132663664703845,0.08982576228998133,15.910891089108912,0.06285003111387678,0.06266303671437444,1.0530100000000058,0.8730100000000056,0.006010000000005622,0,0,0,1,0
