Date,Price,Shares,MktCap,REF_PCF,Implied_CFPS_REF,Implied_CFPS_fiscal_REF,CFPS_from_CF,REF_PCF_fiscal,CFPS_fiscal,CFOpToShareTtm,OperatingCFTtm,OperatingCFTtm_per_share,PCF_from_CFPS_fiscal,PCF_from_CFOpToShareTtm,PCF_from_OperatingCFTtm_per_share,PCF_from_TTM_OpCFAct,PCF_from_TTM_OpCF,CFP_from_CFPS_fiscal,CFP_from_CFOpToShareTtm,CFP_from_OperatingCFTtm_per_share,CFP_from_TTM_OpCFAct,CFP_from_TTM_OpCF,CFPS_from_OpCF,TTM_CFPS_from_OpCFAct,TTM_CFPS_from_OpCF,Implied_CFPS_self,Implied_CFPS_self_source,Implied_CFPS_trial,Implied_CFPS_trial_source,PCF_self,CFP_self,PCF_trial,CFP_trial,REF_CFP,REF_CFP_fiscal,Self_diff_vs_REF,Trial_diff_vs_REF,neg_cfps_self_flag,neg_cfps_trial_flag,ref_pcf_is_nan,trial_available,ref_pcf_missing_but_trial_available
2024-01-02,32.48,768199747,24983975163.84,10.7227361218197,3.029077618902365,,3.2895090240116938,,,,,,,,,,10.943477097614034,,,,,0.09137863506088265,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.943477097614034,0.09137863506088265,10.943477097614034,0.09137863506088265,0.09325977890709253,,-0.06109955212489693,-0.06109955212489693,0,0,0,1,0
2024-01-03,31.8,768199747,24460911644.4,10.4982453409442,3.029077618902355,,3.2895090240116938,,,,,,,,,,10.71436489236842,,,,,0.09333264360935434,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.71436489236842,0.09333264360935434,10.71436489236842,0.09333264360935434,0.09525401317303003,,-0.06109955212488716,-0.06109955212488716,0,0,0,1,0
2024-01-04,32.27,768199747,24822440841.66,10.6534080865494,3.0290776189023414,,3.2895090240116938,,,,,,,,,,10.872721857758773,,,,,0.09197328995281896,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.872721857758773,0.09197328995281896,10.872721857758773,0.09197328995281896,0.09386667551603164,,-0.06109955212487339,-0.06109955212487339,0,0,0,1,0
2024-01-05,32.4,768199747,24922438279.1999,10.6963254417167,3.029077618902364,,3.2895090240116938,,,,,,,,,,10.916522720526315,,,,,0.09160426132029223,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.916522720526315,0.09160426132029223,10.916522720526315,0.09160426132029223,0.09349004996612234,,-0.06109955212489604,-0.06109955212489604,0,0,0,1,0
2024-01-08,32.27,768199747,24822440841.6599,10.6534080865494,3.0290776189023414,,3.2895090240116938,,,,,,,,,,10.872721857758773,,,,,0.09197328995281896,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.872721857758773,0.09197328995281896,10.872721857758773,0.09197328995281896,0.09386667551603164,,-0.06109955212487339,-0.06109955212487339,0,0,0,1,0
2024-01-09,32.15,768199747,24730135514.7,10.6137920663949,3.0290776189023387,,3.2895090240116938,,,,,,,,,,10.832290292127192,,,,,0.0923165806151623,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.832290292127192,0.0923165806151623,10.832290292127192,0.0923165806151623,0.09421703324735113,,-0.061099552124870726,-0.061099552124870726,0,0,0,1,0
2024-01-10,31.97,768199747,24591677524.2599,10.5543680361631,3.0290776189023507,,3.2895090240116938,,,,,,,,,,10.771642943679824,,,,,0.09283634866366806,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.771642943679824,0.09283634866366806,10.771642943679824,0.09283634866366806,0.09474750137323587,,-0.06109955212488272,-0.06109955212488272,0,0,0,1,0
2024-01-11,32.09,768199747,24683982851.2199,10.5939840563176,3.0290776189023525,,3.2895090240116938,,,,,,,,,,10.812074509311405,,,,,0.0924891887434549,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.812074509311405,0.0924891887434549,10.812074509311405,0.0924891887434549,0.09439319473051892,,-0.06109955212488449,-0.06109955212488449,0,0,0,1,0
2024-01-12,32.48,768199747,24983975163.8399,10.7227361218197,3.029077618902365,,3.2895090240116938,,,,,,,,,,10.943477097614034,,,,,0.09137863506088265,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.943477097614034,0.09137863506088265,10.943477097614034,0.09137863506088265,0.09325977890709253,,-0.06109955212489693,-0.06109955212489693,0,0,0,1,0
2024-01-15,32.32,768199747,24860901394.56,10.6699147616137,3.0290776189023627,,3.2895090240116938,,,,,,,,,,10.889568343438597,,,,,0.09183100454138206,1.5581884850581706,,2.967978066777468,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF,10.889568343438597,0.09183100454138206,10.889568343438597,0.09183100454138206,0.09372146098088995,,-0.06109955212489471,-0.06109955212489471,0,0,0,1,0
