Instrument,Date,REF_PCF,REF_CFP,PCF_CFPS_LTM,CFP_CFPS_LTM,CFP_OpCF_MktCap,PCF_OpCF_MktCap
SRENH.S,2024-01-03,14.7661540848829,0.06772244108056322,,,0.11664660275421515,8.5729029083435
SRENH.S,2024-01-04,14.8759268125119,0.06722270232997626,,,0.11601897709111962,8.61927957884523
SRENH.S,2024-01-05,14.8918351321206,0.06715089115129089,,,0.11587475071566213,8.630007778431715
SRENH.S,2024-01-08,15.0557735511332,0.06641970248846717,,,0.1146958434146619,8.718711770440384
SRENH.S,2024-01-09,14.939595580759,0.06693621621778836,,,0.11539825384607176,8.6656423877426
SRENH.S,2024-01-10,14.9858660520033,0.06672954345980697,,,0.11546350098811559,8.660745529471932
SRENH.S,2024-01-11,15.005407315059,0.06664264281559545,,,0.11530175018807991,8.67289523679218
SRENH.S,2024-01-12,15.1251806190293,0.06611491295131243,,,0.11416952228225398,8.758905003804468
SRENH.S,2024-01-15,15.1641251280149,0.06594511661952421,,,0.11386633836353584,8.782226726281001
SRENH.S,2024-01-16,15.0659319941784,0.0663749179530618,,,0.11383454236018158,8.784679757712912
SRENH.S,2024-01-17,14.8968564760187,0.06712825632775767,,,0.11520044443003416,8.680522066972928
SRENH.S,2024-01-18,14.7223156967822,0.06792409703716422,,,0.11649142085451628,8.584323142979596
SRENH.S,2024-01-19,14.8352413024943,0.06740705996011448,,,0.11584908152936116,8.63191996689725
SRENH.S,2024-01-22,15.0693684281184,0.06635978174998158,,,0.11388164638974663,8.78104621509964
SRENH.S,2024-01-23,14.8819871583798,0.06719532743561847,,,0.11499771799878247,8.695824729414086
SRENH.S,2024-01-24,15.0877516856705,0.06627892749253979,,,0.11376393420270646,8.790132013351291
SRENH.S,2024-01-25,15.0302839320051,0.06653234260402931,,,0.1138099861868126,8.786575181184514
SRENH.S,2024-01-26,15.1343145918946,0.06607501079272955,,,0.11309023136779409,8.842496720585725
SRENH.S,2024-01-29,15.1953750544582,0.06580949771993999,,,0.11243812555395345,8.893780424329021
SRENH.S,2024-01-30,15.1590228922375,0.06596731247843628,,,0.11278106336508935,8.866736756709315
SRENH.S,2024-01-31,15.1678250191056,0.06592903061186337,,,0.1124656936897044,8.891600337779666
SRENH.S,2024-02-01,15.0273000597344,0.06654555349430312,,,0.11410609278483273,8.763773919467011
SRENH.S,2024-02-02,14.9807253150792,0.06675244215267913,,,0.11353385273860264,8.807945611626284
SRENH.S,2024-02-05,15.1478697490671,0.0660158831945057,,,0.11183366777553613,8.941851053361876
SRENH.S,2024-02-06,15.49118191925,0.06455285369525986,,,0.109486946806344,9.133508871781391
SRENH.S,2024-02-07,15.4438199196967,0.0647508197583049,,,0.10999659968443914,9.091190117411116
SRENH.S,2024-02-08,15.1167468667178,0.06615179898273467,,,0.11242860949370093,8.894533202031884
SRENH.S,2024-02-09,15.0378909244137,0.0664986868854409,,,0.11308152983747181,8.843177143404988
SRENH.S,2024-02-12,15.119848263782,0.06613822986540112,,,0.11235348712954063,8.90048031038882
SRENH.S,2024-02-13,15.1484031587204,0.06601355862544069,,,0.11149679991793905,8.968867274540559
SRENH.S,2024-02-14,15.2507581521691,0.06557051066066319,,,0.11091359382973458,9.016027390971729
SRENH.S,2024-02-15,15.5177832821959,0.06444219395352269,,,0.10947231614289248,9.134729539244569
SRENH.S,2024-02-16,15.1105477498846,0.06617893782226637,,,0.11245413278371887,8.892514443406744
SRENH.S,2024-02-19,14.9636098485025,0.06682879399586031,,,0.11359021604955913,8.80357512097435
SRENH.S,2024-02-20,15.3573039784467,0.06511559590169316,,,0.11094489075789597,9.013484020478247
SRENH.S,2024-02-21,15.2718260022565,0.06548005456926004,,,0.11171067775416278,8.95169575643127
SRENH.S,2024-02-22,15.5666699441066,0.06423981516859943,,,0.10965529030265667,9.119487051102837
SRENH.S,2024-02-23,15.9304355955486,0.06277292256085122,,,0.10710150821589629,9.336936674917688
SRENH.S,2024-02-26,15.8566028677317,0.06306521064704264,,,0.10788965424775979,9.268729304698498
SRENH.S,2024-02-27,15.7561338281002,0.06346734617197493,,,0.10854700021466042,9.212599132379703
SRENH.S,2024-02-28,15.8707596034939,0.06300895640684098,,,0.10768361993161603,9.286463443883529
SRENH.S,2024-02-29,15.8858960131604,0.06294892017243264,,,0.1072532774237647,9.32372440283512
SRENH.S,2024-03-01,15.8609164968137,0.06304805905767741,,,0.1077609564537818,9.279798852090698
SRENH.S,2024-03-04,15.8879577816657,0.0629407513377191,,,0.10774568843912498,9.281113838397237
SRENH.S,2024-03-05,16.0119382355607,0.06245340103667858,,,0.1069218582259924,9.3526245857641
SRENH.S,2024-03-06,16.1550979658198,0.061899965083204896,,,0.1063843179903112,9.399881663865848
SRENH.S,2024-03-07,16.3712792857743,0.061082581424711416,,,0.10545065351811177,9.48310860708174
SRENH.S,2024-03-08,16.3712792857743,0.061082581424711416,,,0.10536415521865898,9.490893728751782
SRENH.S,2024-03-11,16.4989452251588,0.060609935141497824,,,0.1044437744397779,9.574529505122378
SRENH.S,2024-03-12,16.6079279681656,0.06021220720109212,,,0.10373913616175622,9.639563591899789
SRENH.S,2024-03-13,16.7688940886531,0.05963422481609349,,,0.10295026556227045,9.713428076541875
SRENH.S,2024-03-14,9.64597372058442,0.10367019742817764,,,0.1017056272188265,9.832297654960946
SRENH.S,2024-03-15,9.70041612376779,0.10308836108069813,,,0.10118986932092074,9.882412208958675
SRENH.S,2024-03-18,9.72666393984681,0.10281017275649286,,,0.10076870039866093,9.923716352833786
SRENH.S,2024-03-19,9.84327110255675,0.10159224403971298,,,0.09951977997546928,10.048253726510357
SRENH.S,2024-03-20,9.86397694761262,0.10137898793873704,,,0.09979554498404827,10.020487389089803
SRENH.S,2024-03-21,9.77995781378693,0.10224992980954246,,,0.10011836222867657,9.98817777018703
SRENH.S,2024-03-22,9.70332334138731,0.1030574747246367,,,0.10039771268503027,9.960386280285292
SRENH.S,2024-03-25,9.66929975629871,0.10342010540614245,,,0.10104029480784821,9.897041590206504
SRENH.S,2024-03-26,9.67844075806912,0.10332242816760323,,,0.10088911029035376,9.911872521445085
SRENH.S,2024-03-27,9.73370366363901,0.10273581717261189,,,0.10027938949021384,9.972138891986264
SRENH.S,2024-03-28,9.68952222645163,0.10320426297904339,,,0.10037369419358386,9.96276970808077
SRENH.S,2024-04-02,9.57354832371936,0.10445447875605397,,,0.10141021855584598,9.860939205542746
SRENH.S,2024-04-03,9.28337469905941,0.10771944819822041,,,0.10523158267117401,9.5028505189814
SRENH.S,2024-04-04,9.23297931245862,0.10830740177773812,,,0.10580595699953113,9.45126369401329
SRENH.S,2024-04-05,9.07732290707627,0.1101646388739179,,,0.10762029974167898,9.291927288813541
SRENH.S,2024-04-08,9.04970221583017,0.11050087352606502,,,0.10817732977806632,9.244081010795634
SRENH.S,2024-04-09,8.84774791241886,0.11302311163232644,,,0.1106165049799721,9.040242233119343
SRENH.S,2024-04-10,8.79282014478938,0.11372915441612888,,,0.11014772441058908,9.078716835514259
SRENH.S,2024-04-11,8.72851156582916,0.1145670705088887,,,0.11077362560129067,9.02741960978434
SRENH.S,2024-04-12,8.73786202810472,0.11444447128869398,,,0.10980957244411488,9.106674197360414
SRENH.S,2024-04-15,8.87852394804242,0.1126313344258631,,,0.10786668400361074,9.27070308350747
SRENH.S,2024-04-16,8.07669916377497,0.12381295622413771,,,0.11851863809027915,8.4374914875268
SRENH.S,2024-04-17,8.11187350883249,0.12327608399109838,,,0.11860537433791976,8.43132114022835
SRENH.S,2024-04-18,8.09522889932001,0.12352955209012051,,,0.11853806896487128,8.436108405784388
SRENH.S,2024-04-19,8.12384559702093,0.12309441237616664,,,0.11824258285227912,8.45719009072479
SRENH.S,2024-04-22,8.2053134091305,0.12187224913154998,,,0.11706859180003731,8.54200075890621
SRENH.S,2024-04-23,8.41694698761069,0.11880792423570545,,,0.11460613060886209,8.725536711582107
SRENH.S,2024-04-24,8.29692072531938,0.12052664272762546,,,0.11624292189252718,8.60267432820171
SRENH.S,2024-04-25,8.22003668509939,0.12165395828618604,,,0.11768138707423835,8.497520507377756
SRENH.S,2024-04-26,8.20115245247855,0.12193408253223977,,,0.11754501413673608,8.507379129128644
