Date,REF_EP,EP_LTM_formula,EP_trial,EP_self,EP_from_EPSAct,EP_from_EPSfr,EP_NetIncome_MktCap,EP_from_EPSAct_ff,EP_from_EPSfr_ff,EP_from_NI_Shares,EP_from_TTM
2024-01-02,0.06200708128078835,0.09442733990147785,0.06219211822660099,0.08888546798029558,0.0935960591133005,0.07573891625615764,0.07568851584262286,0.0935960591133005,0.07573891625615764,0.07578815741233731,0.08888546798029558
2024-01-03,0.0633330188679244,0.09644654088050315,0.06352201257861635,0.09078616352201258,0.09559748427672955,0.07735849056603773,0.07730701240781102,0.09559748427672955,0.07735849056603773,0.07740878467775834,0.09078616352201258
2024-01-04,0.06241059807871072,0.09504183452122714,0.06259683916950727,0.08946389835760768,0.09420514409668422,0.07623179423613262,0.07618106583726032,0.09420514409668422,0.07623179423613262,0.07628135583367572,0.08946389835760768
2024-01-05,0.06216018518518506,0.0946604938271605,0.06234567901234568,0.08910493827160494,0.09382716049382717,0.07592592592592592,0.07587540106692593,0.09382716049382717,0.07592592592592592,0.07597528866520728,0.08910493827160494
2024-01-08,0.06241059807871072,0.09504183452122714,0.06259683916950727,0.08946389835760768,0.09420514409668422,0.07623179423613262,0.07618106583726063,0.09420514409668422,0.07623179423613262,0.07628135583367572,0.08946389835760768
2024-01-09,0.0626435458786938,0.09539657853810266,0.06283048211508555,0.08979782270606532,0.09455676516329704,0.07651632970451011,0.07646541196169178,0.09455676516329704,0.07651632970451011,0.07656607629090872,0.08979782270606532
2024-01-10,0.06299624648107606,0.09593368783234282,0.06318423522051923,0.09030340944635597,0.0950891460744448,0.07694713794182045,0.07689593351793558,0.0950891460744448,0.07694713794182045,0.07699716461534925,0.09030340944635597
2024-01-11,0.06276067310688702,0.09557494546587722,0.06294795886569024,0.08996572140853848,0.0947335618572764,0.07665939545029603,0.0766083825044687,0.0947335618572764,0.07665939545029603,0.07670923504994438,0.08996572140853848
2024-01-12,0.06200708128078835,0.09442733990147785,0.06219211822660099,0.08888546798029558,0.0935960591133005,0.07573891625615764,0.07568851584262316,0.0935960591133005,0.07573891625615764,0.07578815741233731,0.08888546798029558
2024-01-15,0.06231404702970292,0.09489480198019802,0.0625,0.08932549504950495,0.09405940594059406,0.07611386138613861,0.07606321146560614,0.09405940594059406,0.07611386138613861,0.07616334631041818,0.08932549504950495
2024-01-16,0.06158990825688079,0.0937920489296636,0.06177370030581039,0.0882874617737003,0.09296636085626911,0.07522935779816513,0.07517929646998137,0.09296636085626911,0.07522935779816513,0.07527826766827876,0.0882874617737003
2024-01-17,0.062468672456575704,0.0951302729528536,0.06265508684863523,0.0895471464019851,0.09429280397022333,0.07630272952853598,0.07625195392581888,0.09429280397022333,0.07630272952853598,0.07635233724419092,0.0895471464019851
2024-01-18,0.06343275590551199,0.0965984251968504,0.0636220472440945,0.09092913385826772,0.095748031496063,0.07748031496062992,0.0774287557344375,0.095748031496063,0.07748031496062992,0.07753068827567608,0.09092913385826772
2024-01-19,0.06463382541720167,0.09842747111681643,0.06482670089858793,0.09265083440308088,0.0975609756097561,0.07894736842105263,0.07889483294507063,0.0975609756097561,0.07894736842105263,0.0789986955312168,0.09265083440308088
2024-01-22,0.06463382541720167,0.09842747111681643,0.06482670089858793,0.09265083440308088,0.0975609756097561,0.07894736842105263,0.07889483294507031,0.0975609756097561,0.07894736842105263,0.0789986955312168,0.09265083440308088
2024-01-23,0.06351277199621572,0.09672027751497951,0.06370230211289814,0.09104383475244403,0.09586881110059918,0.07757805108798486,0.0775264268233488,0.09586881110059918,0.07757805108798486,0.0776284879455287,0.09104383475244403
2024-01-24,0.06266303671437444,0.09542626011200996,0.06285003111387678,0.08982576228998133,0.09458618543870566,0.07654013690105788,0.07648920331575608,0.09458618543870566,0.07654013690105788,0.07658989896554809,0.08982576228998133
2024-01-25,0.06311469758696335,0.09611407082419304,0.06330303979943591,0.09047320589157004,0.09526794108429959,0.0770918207458477,0.07704052004288282,0.09526794108429959,0.0770918207458477,0.07714194148394596,0.09047320589157004
2024-01-26,0.06200708128078835,0.09442733990147785,0.06219211822660099,0.08888546798029558,0.0935960591133005,0.07573891625615764,0.07568851584262316,0.0935960591133005,0.07573891625615764,0.07578815741233731,0.08888546798029558
2024-01-29,0.06130867579908671,0.09336377473363774,0.061491628614916284,0.08788432267884322,0.09254185692541857,0.07488584474885844,0.07483601201121433,0.09254185692541857,0.07488584474885844,0.07493453128623183,0.08788432267884322
2024-01-30,0.06170312500000001,0.09396446078431372,0.061887254901960786,0.08844975490196079,0.09313725490196079,0.07536764705882353,0.07531749370613942,0.09313725490196079,0.07536764705882353,0.07541664683678663,0.08844975490196079
2024-01-31,0.06283900156006238,0.09569422776911078,0.06302652106084244,0.09007800312012482,0.09485179407176288,0.07675507020280811,0.07670399359027771,0.09485179407176288,0.07675507020280811,0.07680497200476492,0.09007800312012482
2024-02-01,0.06262406716417922,0.09536691542288558,0.06281094527363185,0.08976990049751245,0.09452736318407962,0.07649253731343285,0.07644163540324599,0.09452736318407962,0.07649253731343285,0.07654226843136554,0.08976990049751245
2024-02-02,0.06357291666666687,0.0968118686868687,0.06376262626262626,0.0911300505050505,0.09595959595959597,0.07765151515151515,0.07759984200026518,0.09595959595959597,0.07765151515151515,0.07770199977123471,0.0911300505050505
2024-02-05,0.0639158997143764,0.09733417962551572,0.06410663281497937,0.09162170739447793,0.09647730879086004,0.07807045382418279,0.07801850189045986,0.09647730879086004,0.07807045382418279,0.07812121081411347,0.09162170739447793
2024-02-06,0.06363317535545021,0.09690363349131123,0.06382306477093207,0.09121642969984203,0.09605055292259085,0.07772511848341232,0.07767339635287206,0.09605055292259085,0.07772511848341232,0.077775650955852,0.09121642969984203
2024-02-07,0.06395649412511922,0.09739599872975549,0.06414734836456018,0.09167989838043825,0.0965385836773579,0.07812003810733567,0.07806805317778345,0.0965385836773579,0.07812003810733567,0.07817082733416054,0.09167989838043825
2024-02-08,0.0726023792357605,0.10407354001441961,0.06741167988464312,0.10407354001441961,0.10382119682768566,0.06741167988464312,0.06729804748482661,0.10382119682768566,0.06741167988464312,0.06738664326472073,0.10407354001441961
2024-02-09,0.0746475166790216,0.1070051890289103,0.06931060044477391,0.1070051890289103,0.1067457375833951,0.06931060044477391,0.06919376713228684,0.1067457375833951,0.06931060044477391,0.06928485856795229,0.1070051890289103
2024-02-12,0.07379956027849058,0.10578966654452181,0.06852326859655553,0.10578966654452181,0.105533162330524,0.06852326859655553,0.06840776244884934,0.105533162330524,0.06852326859655553,0.06849781913387148,0.10578966654452181
