Date,REF_CFP,REF_CFP_fiscal,CFP_from_CFPS_fiscal,CFP_from_CFOpToShareTtm,CFP_from_OperatingCFTtm_per_share,CFP_from_CF,CFP_from_OpCF,CFP_from_TTM_OpCFAct,CFP_from_TTM_OpCF,CFP_trial,CFP_self
2024-01-02,0.09325977890709253,,,,,0.10127798719247827,0.047973783406963386,,0.09137863506088265,0.09137863506088265,0.09137863506088265
2024-01-03,0.09525401317303003,,,,,0.10344368000036773,0.048999637894911026,,0.09333264360935434,0.09333264360935434,0.09333264360935434
2024-01-04,0.09386667551603164,,,,,0.10193706303104101,0.048285977225229954,,0.09197328995281896,0.09197328995281896,0.09197328995281896
2024-01-05,0.09349004996612234,,,,,0.10152805629665722,0.04809223719315342,,0.09160426132029223,0.09160426132029223,0.09160426132029223
2024-01-08,0.09386667551603164,,,,,0.10193706303104101,0.048285977225229954,,0.09197328995281896,0.09197328995281896,0.09197328995281896
2024-01-09,0.09421703324735113,,,,,0.10231754351513822,0.048466204822960206,,0.0923165806151623,0.0923165806151623,0.0923165806151623
2024-01-10,0.09474750137323587,,,,,0.10289361976889877,0.04873908304842573,,0.09283634866366806,0.09283634866366806,0.09283634866366806
2024-01-11,0.09439319473051892,,,,,0.10250885085732918,0.04855682409031382,,0.0924891887434549,0.0924891887434549,0.0924891887434549
2024-01-12,0.09325977890709253,,,,,0.10127798719247827,0.047973783406963386,,0.09137863506088265,0.09137863506088265,0.09137863506088265
2024-01-15,0.09372146098088995,,,,,0.10177936336669845,0.04821127738422558,,0.09183100454138206,0.09183100454138206,0.09183100454138206
2024-01-16,0.09263234308569891,,,,,0.1005966062388897,0.04765102400789512,,0.09076385525313357,0.09076385525313357,0.09076385525313357
2024-01-17,0.09395402043741817,,,,,0.1020319176182287,0.04833090834547676,,0.09205887303900334,0.09205887303900334,0.09205887303900334
2024-01-18,0.09540401949298777,,,,,0.10360658343343918,0.0490768026789975,,0.09347962415047144,0.09347962415047144,0.09347962415047144
2024-01-19,0.09721044990058873,,,,,0.10556832554594653,0.05000604894281677,,0.09524961703393671,0.09524961703393671,0.09524961703393671
2024-01-22,0.09721044990058873,,,,,0.10556832554594653,0.05000604894281677,,0.09524961703393671,0.09524961703393671,0.09524961703393671
2024-01-23,0.09552436514986946,,,,,0.10373727606470179,0.04913870971485874,,0.09359754231401665,0.09359754231401665,0.09359754231401665
2024-01-24,0.09424634781899022,,,,,0.1023493784695611,0.04848128453821315,,0.09234530388231077,0.09234530388231077,0.09234530388231077
2024-01-25,0.09492565399255294,,,,,0.10308708943941378,0.04883072657656442,,0.09301090776488462,0.09301090776488462,0.09301090776488462
2024-01-26,0.09325977890709253,,,,,0.10127798719247827,0.047973783406963386,,0.09137863506088265,0.09137863506088265,0.09137863506088265
2024-01-29,0.09220936435014805,,,,,0.10013726100492218,0.04743343942338419,,0.09034940842549369,0.09034940842549369,0.09034940842549369
2024-01-30,0.0928026231281354,,,,,0.1007815264709465,0.04773861780202729,,0.09093070057529007,0.09093070057529007,0.09093070057529007
2024-01-31,0.09451100214983937,,,,,0.10263678702064569,0.04861742543083216,,0.09260461986825173,0.09260461986825173,0.09260461986825173
2024-02-01,0.09418773690616793,,,,,0.10228572835857258,0.04845113448563964,,0.09228787521074218,0.09228787521074218,0.09228787521074218
2024-02-02,0.09561482382898842,,,,,0.10383551212158125,0.0491852425839069,,0.09368617635029887,0.09368617635029887,0.09368617635029887
2024-02-05,0.09613067657576509,,,,,0.1043957164078608,0.04945060250898669,,0.09419162382664131,0.09419162382664131,0.09419162382664131
2024-02-06,0.09570545399375499,,,,,0.10393393440795241,0.04923186366692483,,0.09377497841319014,0.09377497841319014,0.09377497841319014
2024-02-07,0.09619173130842626,,,,,0.10446202045130816,0.049482009687461755,,0.09425144702373668,0.09425144702373668,0.09425144702373668
2024-02-08,0.10919529988833283,,,,,0.1080251064034729,0.10694579387207419,,0.10699272050387412,0.10699272050387412,0.10699272050387412
2024-02-09,0.11227122382884923,,,,,0.11106806714723269,0.10995835144593542,,0.11000659995468746,0.11000659995468746,0.11000659995468746
2024-02-12,0.11099588196783998,,,,,0.10980639251126194,0.10870928259477236,,0.10875698302592408,0.10875698302592408,0.10875698302592408
2024-02-13,0.10986861149446324,,,,,0.10869120245311346,0.10760523474832563,,0.10765245073549032,0.10765245073549032,0.10765245073549032
2024-02-14,0.1104696432860084,,,,,0.10928579327616113,0.10819388482900574,,0.10824135910931684,0.10824135910931684,0.10824135910931684
2024-02-15,0.11165048355703465,,,,,0.1104539790502152,0.10935039889463095,,0.10939838064052591,0.10939838064052591,0.10939838064052591
2024-02-16,0.11087399776362929,,,,,0.10968581448141794,0.10858990929763315,,0.10863755734910205,0.10863755734910205,0.10863755734910205
2024-02-19,0.11083342915851996,,,,,0.10964568063052829,0.1085501764365656,,0.10859780705369441,0.10859780705369441,0.10859780705369441
