Instrument,Date,Price,MktCap,REF_PE,EPSAct_LTM,REF_PCF,OpCF,OpCFPS,CALC_PE,CALC_EP,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_OpCFPS,CALC_CFP_OpCF_div_MktCap
ACCP.PA,2024-01-02,34.64,9177195221.91994,15.3501192027155,,16.1003424945965,512000000.0,2.21540636442984,,,17.924209417812385,15.635957608578506,0.05579046621750797
ACCP.PA,2024-01-03,34.37,8671185028.23999,15.2304733544265,,15.2126053127017,512000000.0,2.21540636442984,,,16.93590825828123,15.514083805047436,0.05904613940684435
ACCP.PA,2024-01-04,34.52,8709028431.03999,15.2969432701426,,15.2789972474386,512000000.0,2.21540636442984,,,17.00982115437498,15.58179147367581,0.058789565799920056
ACCP.PA,2024-01-05,34.27,8645956093.04,15.1861600772824,,15.1683440228772,512000000.0,2.21540636442984,,,16.88663299421875,15.468945359295192,0.05921843628284907
ACCP.PA,2024-01-08,34.62,8734257366.23999,15.3412565472867,,15.3232585372631,512000000.0,2.21540636442984,,,17.05909641843748,15.626929919428054,0.058619751918348936
ACCP.PA,2024-01-09,34.64,8739303153.28,15.3501192027155,,15.3321107952281,512000000.0,2.21540636442984,,,17.068951471250003,15.635957608578506,0.05858590679599416
ACCP.PA,2024-01-10,34.87,8797329704.23999,15.4520397401469,,15.4339117618245,512000000.0,2.21540636442984,,,17.18228457859373,15.739776033808674,0.0581994783886791
ACCP.PA,2024-01-11,34.9,8804898384.8,15.4653337232902,,15.4471901487719,512000000.0,2.21540636442984,,,17.197067157812498,15.753317567534348,0.0581494501837604
ACCP.PA,2024-01-12,35.04,8840218894.07999,15.5273723112919,,15.5091559545263,512000000.0,2.21540636442984,,,17.26605252749998,15.816511391587495,0.057917117905629
ACCP.PA,2024-01-15,35.34,8915905699.68,15.6603121427242,,15.641939824,512000000.0,2.21540636442984,,,17.4138783196875,15.951926728844239,0.057425461556684716
ACCP.PA,2024-01-16,35.3,8905814125.59999,15.6425868318666,,15.6242353080702,512000000.0,2.21540636442984,,,17.394168214062482,15.933871350543336,0.05749053290122493
ACCP.PA,2024-01-17,34.85,8792283917.2,15.4431770847181,,15.4250595038596,512000000.0,2.21540636442984,,,17.17242952578125,15.730748344658226,0.058232878376276546
ACCP.PA,2024-01-18,35.36,8920951486.72,15.669174798153,,15.6507920819649,512000000.0,2.21540636442984,,,17.4237333725,15.960954417994687,0.05739298109200334
ACCP.PA,2024-01-19,35.98,9077370884.95999,15.9439171164464,,15.9252120788772,512000000.0,2.21540636442984,,,17.72924000968748,16.24081278165862,0.05640399698202447
