Date,Price,REF_PCF,REF_PCF_fiscal,Implied_CFPS_REF,Implied_CFPS_fiscal_REF,CFPS_fiscal,CFOpToShareTtm,OperatingCFTtm_per_share,CFPS_from_CF,CFPS_from_OpCF,TTM_CFPS_from_OpCFAct,TTM_CFPS_from_OpCF,PCF_from_CFPS_fiscal,PCF_from_CFOpToShareTtm,PCF_from_OperatingCFTtm_per_share,PCF_from_CF,PCF_from_OpCF,PCF_from_TTM_OpCFAct,PCF_from_TTM_OpCF,PCF_MktCap_div_CF,PCF_MktCap_div_OpCF,PCF_trial,PCF_self,Implied_CFPS_trial,Implied_CFPS_trial_source,Implied_CFPS_self,Implied_CFPS_self_source
2024-01-02,32.48,10.7227361218197,,3.029077618902365,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.873813922659279,20.844718281169587,,10.943477097614034,9.88681249063712,20.87215970245614,10.943477097614034,10.943477097614034,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-03,31.8,10.4982453409442,,3.029077618902355,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.667096143490305,20.408314080701754,,10.71436489236842,9.67982257396122,20.435180989473686,10.71436489236842,10.71436489236842,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-04,32.27,10.6534080865494,,3.0290776189023414,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.809974608504156,20.709946395730995,,10.872721857758773,9.82288913401662,20.73721039403509,10.872721857758773,10.872721857758773,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-05,32.4,10.6963254417167,,3.029077618902364,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.849494183933517,20.793376610526316,,10.916522720526315,9.862460735734032,20.82075044210518,10.916522720526315,10.916522720526315,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-08,32.27,10.6534080865494,,3.0290776189023414,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.809974608504156,20.709946395730995,,10.872721857758773,9.822889134016581,20.737210394035003,10.872721857758773,10.872721857758773,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-09,32.15,10.6137920663949,,3.0290776189023387,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.773495000415512,20.632933889766083,,10.832290292127192,9.78636150166205,20.660096503508772,10.832290292127192,10.832290292127192,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-10,31.97,10.5543680361631,,3.0290776189023507,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.718775588282547,20.517415130818712,,10.771642943679824,9.731570053130154,20.544425667719214,10.771642943679824,10.771642943679824,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-11,32.09,10.5939840563176,,3.0290776189023525,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.755255196371191,20.594427636783628,,10.812074509311405,9.768097685484724,20.62153955824553,10.812074509311405,10.812074509311405,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-12,32.48,10.7227361218197,,3.029077618902365,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.873813922659279,20.844718281169587,,10.943477097614034,9.88681249063708,20.872159702456056,10.943477097614034,10.943477097614034,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-15,32.32,10.6699147616137,,3.0290776189023627,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.825174445207756,20.74203493988304,,10.889568343438597,9.838108980831025,20.76934118175439,10.889568343438597,10.889568343438597,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-16,32.7,10.795365492103,,3.0290776189023547,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.940693204155124,20.9859078754386,,11.017601634605263,9.953779816620498,21.01353516842105,11.017601634605263,11.017601634605263,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-17,32.24,10.6435040815107,,3.029077618902362,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.800854706481994,20.69069326923977,,10.862613966350878,9.813757225927938,20.717931921403423,10.862613966350878,10.862613966350878,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-18,31.75,10.4817386658798,,3.029077618902362,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.651896306786703,20.376225536549708,,10.697518406688596,9.664602727146814,20.403050201754386,10.697518406688596,10.697518406688596,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-19,31.16,10.2869599001202,,3.029077618902345,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.47253823368421,19.997580715555557,,10.498729875666667,9.485008534736803,20.023906906666582,10.498729875666667,10.498729875666667,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-22,31.16,10.2869599001202,,3.029077618902345,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.47253823368421,19.997580715555557,,10.498729875666667,9.485008534736842,20.023906906666667,10.498729875666667,10.498729875666667,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-23,31.71,10.4685333258283,,3.029077618902361,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.639736437423823,20.35055470122807,,10.684041218144737,9.65242684969529,20.377345571578946,10.684041218144737,10.684041218144737,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-24,32.14,10.610490731382,,3.029077618902346,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.770455033074793,20.626516180935674,,10.828920994991227,9.78331753229913,20.65367034596483,10.828920994991227,10.828920994991227,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-25,31.91,10.5345600260858,,3.029077618902364,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.700535784238227,20.478908877836258,,10.751427160864035,9.713306236952908,20.50586872245614,10.751427160864035,10.751427160864035,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-26,32.48,10.7227361218197,,3.029077618902365,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.873813922659279,20.844718281169587,,10.943477097614034,9.88681249063708,20.872159702456056,10.943477097614034,10.943477097614034,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-29,32.85,10.8448855172961,,3.0290776189023636,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.986292714265929,21.082173507894737,,11.068141091644737,9.99943935706371,21.109927531578947,11.068141091644737,11.068141091644737,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-30,32.64,10.7755574820258,,3.0290776189023396,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.922453400110804,20.94740162245614,,10.997385851789474,9.935516000443213,20.974978223157894,10.997385851789474,10.997385851789474,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-01-31,32.05,10.5807787162661,,3.0290776189023516,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.743095327008309,20.568756801461987,,10.798597320767543,9.7559218080332,20.59583492807009,10.798597320767543,10.798597320767543,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-01,32.16,10.6170934014077,,3.02907761890236,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.77653496775623,20.63935159859649,,10.835659589263157,9.78940547102493,20.666522661052632,10.835659589263157,10.835659589263157,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-02,31.68,10.4586293207897,,3.029077618902353,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.630616535401662,20.33130157473684,,10.673933326736842,9.643294941606609,20.358067098947284,10.673933326736842,10.673933326736842,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-05,31.51,10.4025066255708,,3.0290776189023583,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.578937090609418,20.222200524619886,,10.616655275425439,9.591547462437674,20.248822420701757,10.616655275425439,10.616655275425439,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-06,31.65,10.4487253157511,,3.0290776189023454,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.6214966333795,20.312048448245612,,10.663825435328947,9.634163033517966,20.338788626315708,10.663825435328947,10.663825435328947,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-07,31.49,10.3959039555451,,3.0290776189023427,,,,,3.2895090240116938,1.5581884850581706,,2.967978066777468,,,,9.572857155927977,20.209365106959062,,10.609916681153509,9.585459523711872,20.23597010561395,10.609916681153509,10.609916681153509,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-08,27.74,9.15790332571674,,3.0290776189023525,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.25710729008688,9.350531365414655,,9.346430255166666,9.269293983023458,9.36284104823168,9.346430255166666,9.346430255166666,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-09,26.98,8.9070018647382,,3.0290776189023525,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.003487912276283,9.094352423896446,,9.090363672833334,9.015340723214553,9.1063248551294,9.090363672833334,9.090363672833334,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-12,27.29,9.00934325013734,,3.029077618902353,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.106937921646395,9.198846465831505,,9.194811884048246,9.118926921294483,9.210956460210575,9.194811884048246,9.194811884048246,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-13,27.57,9.10178063049786,,3.0290776189023516,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.200376639787143,9.293228181127686,,9.289152203855263,9.21248864859253,9.305462426090392,9.289152203855263,9.289152203855263,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-14,27.42,9.05226060530473,,3.0290776189023507,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.150320183640314,9.242666547933304,,9.23861274681579,9.162366294682885,9.25483423008337,9.23861274681579,9.23861274681579,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
2024-02-15,27.13,8.95652188993134,,3.0290776189023503,,,,,2.996616451632338,2.9666763220113377,,2.967978066777468,,,,9.053544368423111,9.144914057090828,,9.140903129872807,9.065463077124198,9.156953051136421,9.140903129872807,9.140903129872807,2.967978066777468,TTM_CFPS_from_OpCF,2.967978066777468,TTM_CFPS_from_OpCF
