Instrument,Date,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
ACCP.PA,2024-01-02,15.3501192027155,24.92086330935252,16.1003424945965,17.924209417812385,,15.635957608578506
ACCP.PA,2024-01-03,15.2304733544265,24.72661870503597,15.2126053127017,16.93590825828123,,15.514083805047436
ACCP.PA,2024-01-04,15.2969432701426,24.834532374100725,15.2789972474386,17.00982115437498,,15.58179147367581
ACCP.PA,2024-01-05,15.1861600772824,24.65467625899281,15.1683440228772,16.88663299421875,,15.468945359295192
ACCP.PA,2024-01-08,15.3412565472867,24.906474820143885,15.3232585372631,17.05909641843748,,15.626929919428054
ACCP.PA,2024-01-09,15.3501192027155,24.92086330935252,15.3321107952281,17.068951471250003,,15.635957608578506
ACCP.PA,2024-01-10,15.4520397401469,25.086330935251798,15.4339117618245,17.18228457859373,,15.739776033808674
ACCP.PA,2024-01-11,15.4653337232902,25.10791366906475,15.4471901487719,17.197067157812498,,15.753317567534348
ACCP.PA,2024-01-12,15.5273723112919,25.20863309352518,15.5091559545263,17.26605252749998,,15.816511391587495
ACCP.PA,2024-01-15,15.6603121427242,25.42446043165468,15.641939824,17.4138783196875,,15.951926728844239
ACCP.PA,2024-01-16,15.6425868318666,25.39568345323741,15.6242353080702,17.394168214062482,,15.933871350543336
ACCP.PA,2024-01-17,15.4431770847181,25.071942446043167,15.4250595038596,17.17242952578125,,15.730748344658226
ACCP.PA,2024-01-18,15.669174798153,25.43884892086331,15.6507920819649,17.4237333725,,15.960954417994687
ACCP.PA,2024-01-19,15.9439171164464,25.884892086330936,15.9252120788772,17.72924000968748,,16.24081278165862
ACCP.PA,2024-01-22,15.9705050827329,25.928057553956837,15.9517688527719,17.758805168125,,16.26789584910997
ACCP.PA,2024-01-23,15.8552905621582,25.741007194244606,15.8366894992281,17.63068948156248,,16.150535890154128
ACCP.PA,2024-01-24,16.0414063261635,26.043165467625904,16.0225869164912,17.837645590624998,,16.340117362313567
ACCP.PA,2024-01-25,16.2939920058848,26.453237410071946,16.2748762684912,18.118514595781253,,16.59740650310138
ACCP.PA,2024-01-26,16.4047751987451,26.63309352517986,16.3855294930526,18.241702755937347,,16.710252617481995
ACCP.PA,2024-01-29,16.4003438710306,26.62589928057554,16.3811033640702,18.23677522953125,,16.70573877290677
ACCP.PA,2024-01-30,16.3737559047442,26.582733812949645,16.3545465901754,18.207210071093748,,16.678655705455423
ACCP.PA,2024-01-31,16.2629727118839,26.40287769784173,16.243893365614,18.08402191093748,,16.565809591074803
ACCP.PA,2024-02-01,16.0635629647355,26.079136690647484,16.0447175614035,17.86228322265625,,16.36268658518969
ACCP.PA,2024-02-02,16.2186594347398,26.330935251798564,16.1996320757895,18.03474664687498,,16.520671145322556
ACCP.PA,2024-02-05,16.2275220901687,26.345323741007196,16.2084843337544,18.0446016996875,,16.529698834473002
ACCP.PA,2024-02-06,16.3693245770298,26.575539568345324,16.350120461193,18.202282544687325,,16.674141860880194
ACCP.PA,2024-02-07,16.4225005096027,26.661870503597125,16.4032340089824,18.261412861562423,,16.728307995782895
ACCP.PA,2024-02-08,16.4490884758891,26.705035971223023,16.4297907828772,18.290978019999844,,16.755391063234242
ACCP.PA,2024-02-09,16.5155583916053,26.812949640287773,16.496182717614,18.36489091609371,,16.823098731862615
ACCP.PA,2024-02-12,16.5731656518926,26.906474820143885,16.5537223943859,18.42894875937484,,16.881778711340534
ACCP.PA,2024-02-13,16.4180691818883,26.654676258992804,16.39880788,18.256485335156075,,16.723794151207667
ACCP.PA,2024-02-14,16.5022644084621,26.791366906474824,16.4829043306666,18.350108336874882,,16.80955719813694
ACCP.PA,2024-02-15,16.3870498878874,26.60431654676259,16.3678249771228,18.221992650312323,,16.692197239181095
ACCP.PA,2024-02-16,16.3870498878874,26.60431654676259,16.3678249771228,18.221992650312444,,16.692197239181095
ACCP.PA,2024-02-19,16.5066957361765,26.798561151079138,16.4873304596491,18.355035863281152,,16.814071042712165
ACCP.PA,2024-02-20,16.7725753990411,27.23021582733813,16.7528981985965,18.650687447656193,,17.084901717225648
ACCP.PA,2024-02-21,16.8213200038996,27.309352517985616,16.8015856174035,18.70489023812496,,17.13455400755312
ACCP.PA,2024-02-22,17.9247206047876,18.22072072072072,17.9036917340351,15.895801072274143,,16.818810399072508
ACCP.PA,2024-02-23,18.1817376122234,18.48198198198198,18.1604072150175,16.123726032024923,,17.059970103187762
ACCP.PA,2024-02-26,17.9646025542173,18.26126126126126,17.9435268948772,15.931168738442214,,16.856231732469702
ACCP.PA,2024-02-27,17.9424459156452,18.23873873873874,17.9213962499649,15.911520035015421,,16.835442102804592
ACCP.PA,2024-02-28,17.8892699830723,18.184684684684683,17.8682827021754,15.864363146791122,,16.78554699160833
ACCP.PA,2024-02-29,17.7651928070689,18.05855855855856,17.7443510906666,15.754330407601246,,16.66912506548373
ACCP.PA,2024-03-01,17.6100963370645,17.9009009009009,17.5894365762807,15.616789483613706,,16.52359765782797
ACCP.PA,2024-03-04,17.4372745562025,17.725225225225223,17.4168175459649,15.463529596884674,,16.361438546440127
ACCP.PA,2024-03-05,17.4461372116313,17.734234234234233,17.4256698039298,15.471389078255374,,16.369754398306167
