Date,REF_PE,PE_LTM_formula,PE_trial,PE_self,PE_from_EPSAct,PE_from_EPSfr,PE_from_NetIncome_MktCap,PE_from_EPSAct_ff,PE_from_EPSfr_ff,PE_from_NI_Shares,PE_from_TTM,Implied_EPS_REF,Implied_EPS_LTM_formula,Implied_EPS_trial,Implied_EPS_trial_source,Implied_EPS_self,Implied_EPS_self_source
2024-01-02,16.1271903038247,10.590153244212583,16.07920792079208,11.250432975406996,10.684210526315788,13.203252032520323,13.21204397876256,10.684210526315788,13.203252032520323,13.19467360262295,11.250432975406996,2.0139900000000055,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-03,15.7895520831782,10.368438213237692,15.742574257425742,11.014894354000694,10.460526315789474,12.926829268292684,12.935437146694872,10.460526315789474,12.926829268292684,12.918430436065576,11.014894354000694,2.013989999999996,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-04,16.0229196768604,10.52168242582328,15.975247524752477,11.177693107031521,10.61513157894737,13.11788617886179,13.126621280624008,10.61513157894737,13.11788617886179,13.109363212950822,11.177693107031521,2.0139899999999953,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-05,16.0874681602193,10.56406912292142,16.03960396039604,11.222722549359196,10.657894736842104,13.170731707317072,13.179501998519251,10.657894736842104,13.170731707317072,13.162174406557378,11.222722549359196,2.0139899999999957,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-08,16.0229196768604,10.52168242582328,15.975247524752477,11.177693107031521,10.61513157894737,13.11788617886179,13.126621280623956,10.61513157894737,13.11788617886179,13.109363212950822,11.177693107031521,2.0139899999999953,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-09,15.9633364614521,10.482556243886533,15.915841584158414,11.136127467959819,10.57565789473684,13.06910569105691,13.077808310259122,10.57565789473684,13.06910569105691,13.06061441885246,11.136127467959819,2.0139900000000055,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-10,15.8739616383398,10.423866970981415,15.826732673267326,11.073779009352268,10.516447368421051,12.995934959349594,13.00458885471174,10.516447368421051,12.995934959349594,12.987491227704918,11.073779009352268,2.0139900000000015,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-11,15.933544853748,10.46299315291816,15.886138613861387,11.11534464842397,10.55592105263158,13.044715447154474,13.053401825076625,10.55592105263158,13.044715447154474,13.03624002180328,11.11534464842397,2.013990000000004,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-12,16.1271903038247,10.590153244212583,16.07920792079208,11.250432975406996,10.684210526315788,13.203252032520323,13.212043978762507,10.684210526315788,13.203252032520323,13.19467360262295,11.250432975406996,2.0139900000000055,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-15,16.0477460166138,10.537985001630258,16.0,11.195012123311397,10.631578947368421,13.138211382113822,13.146960018276046,10.631578947368421,13.138211382113822,13.129675210491804,11.195012123311397,2.0139899999999984,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-16,16.2364261987398,10.661884577763287,16.18811881188119,11.326636647038448,10.756578947368421,13.29268292682927,13.301534424431518,10.756578947368421,13.29268292682927,13.284046391803281,11.326636647038448,2.013990000000002,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-17,16.0080238730083,10.511900880339093,15.96039603960396,11.167301697263596,10.605263157894738,13.10569105691057,13.114418038032733,10.605263157894738,13.10569105691057,13.097176014426232,11.167301697263596,2.0139900000000006,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-18,15.7647257434247,10.352135637430713,15.717821782178218,10.997575337720818,10.444078947368421,12.90650406504065,12.915098409042834,10.444078947368421,12.90650406504065,12.898118438524591,10.997575337720818,2.0139900000000055,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-19,15.4717749343343,10.15976524290838,15.425742574257425,10.79321094561829,10.25,12.666666666666666,12.675101304748758,10.25,12.666666666666666,12.658436867540985,10.79321094561829,2.013990000000004,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-22,15.4717749343343,10.15976524290838,15.425742574257425,10.79321094561829,10.25,12.666666666666666,12.675101304748809,10.25,12.666666666666666,12.658436867540985,10.79321094561829,2.013990000000004,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-23,15.744864671622,10.339093576785132,15.698019801980198,10.983720124696918,10.430921052631579,12.890243902439025,12.898827418921206,10.430921052631579,12.890243902439025,12.881868840491805,10.983720124696918,2.0139900000000006,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-24,15.9583711935015,10.479295728725138,15.910891089108912,11.132663664703845,10.572368421052632,13.065040650406505,13.073740562728663,10.572368421052632,13.065040650406505,13.056552019344263,11.132663664703845,2.0139899999999944,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-25,15.8441700306357,10.40430388001304,15.797029702970297,11.052996189816419,10.49671052631579,12.971544715447155,12.980182369529349,10.49671052631579,12.971544715447155,12.96311683065574,11.052996189816419,2.01399,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-26,16.1271903038247,10.590153244212583,16.07920792079208,11.250432975406996,10.684210526315788,13.203252032520323,13.212043978762507,10.684210526315788,13.203252032520323,13.19467360262295,11.250432975406996,2.0139900000000055,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-29,16.3109052180001,10.710792305184219,16.262376237623762,11.378593695878074,10.805921052631579,13.353658536585368,13.362550637387626,10.805921052631579,13.353658536585368,13.344982384426231,11.378593695878074,2.0139899999999984,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-30,16.2066345910357,10.642321486794913,16.15841584158416,11.305853827502599,10.736842105263158,13.26829268292683,13.277127939249073,10.736842105263158,13.26829268292683,13.2596719947541,11.305853827502599,2.0139900000000006,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-01-31,15.9136837819453,10.449951092272578,15.866336633663364,11.101489435400069,10.542763157894736,13.028455284552845,13.037130834954997,10.542763157894736,13.028455284552845,13.019990423770492,11.101489435400069,2.013989999999999,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-01,15.9683017294028,10.485816759047928,15.920792079207919,11.139591271215794,10.578947368421051,13.073170731707316,13.081876057789527,10.578947368421051,13.073170731707316,13.064676818360656,11.139591271215794,2.0139900000000033,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-02,15.7299688677699,10.329312031300946,15.683168316831683,10.973328714928991,10.421052631578947,12.878048780487806,12.88662417632993,10.421052631578947,12.878048780487806,12.869681641967214,10.973328714928991,2.0139900000000064,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-05,15.6455593126083,10.273883273557223,15.599009900990099,10.914444059577416,10.365131578947368,12.808943089430896,12.817472468313063,10.365131578947368,12.808943089430896,12.80062085032787,10.914444059577416,2.0139900000000006,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-06,15.7150730639179,10.319530485816758,15.668316831683168,10.962937305161066,10.411184210526315,12.865853658536585,12.87442093373871,10.411184210526315,12.865853658536585,12.857494443442624,10.962937305161066,2.0139899999999993,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-07,15.6356287767069,10.26736224323443,15.589108910891088,10.907516453065465,10.358552631578947,12.800813008130081,12.809336973252194,10.358552631578947,12.800813008130081,12.792496051311476,10.907516453065465,2.013990000000004,3.067,2.02,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-08,13.7736532952001,9.608590232074818,14.83422459893048,9.608590232074818,9.631944444444445,14.83422459893048,14.859272109275764,9.631944444444445,14.83422459893048,14.839736059735374,9.608590232074818,2.013989999999996,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-09,13.396292930948,9.345341184620713,14.427807486631016,9.345341184620713,9.368055555555555,14.427807486631016,14.452168763816086,9.368055555555555,14.427807486631016,14.433167948509748,9.345341184620713,2.013990000000003,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-12,13.5502162374192,9.45271908555594,14.593582887700533,9.45271908555594,9.475694444444445,14.593582887700533,14.618224075779876,9.475694444444445,14.593582887700533,14.599004941246516,9.45271908555594,2.0139900000000077,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-13,13.6892437400384,9.549705576723243,14.74331550802139,9.549705576723243,9.572916666666668,14.74331550802139,14.768209518844014,9.572916666666668,14.74331550802139,14.748793192750696,9.549705576723243,2.0139900000000046,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-14,13.6147647207782,9.497748527883617,14.663101604278076,9.497748527883617,9.520833333333334,14.663101604278076,14.687860174345404,9.520833333333334,14.663101604278076,14.668549486587743,9.497748527883617,2.0139899999999935,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-15,13.4707719502083,9.397298233460338,14.50802139037433,9.397298233460338,9.42013888888889,14.50802139037433,14.532518108314694,9.42013888888889,14.50802139037433,14.513411654672701,9.397298233460338,2.013989999999999,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-16,13.5651120412713,9.463110495323866,14.609625668449198,9.463110495323866,9.48611111111111,14.609625668449198,14.634293944679595,9.48611111111111,14.609625668449198,14.615053682479108,9.463110495323866,2.013990000000001,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-19,13.570077309222,9.46657429857984,14.614973262032084,9.46657429857984,9.489583333333334,14.614973262032084,14.639650567646237,9.489583333333334,14.614973262032084,14.62040326288997,9.46657429857984,2.013989999999999,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
2024-02-20,13.6793132041371,9.542777970211292,14.732620320855615,9.542777970211292,9.565972222222223,14.732620320855615,14.757496272910865,9.565972222222223,14.732620320855615,14.738094031928968,9.542777970211292,2.0139899999999944,2.887,1.87,EPSFR_LTM,2.887,TTM_EPSAct
